,disposition,period,time0bk,impact,duration,depth,prad,teq,insol,model_snr,steff,slogg,srad,ra,dec,kepmag
5675,1,1.0936658540000002,132.47213,0.174,1.4399,218.4,1.29,1681.0,1880.33,33.5,5845.0,4.541,0.8740000000000001,296.9028,41.198189,14.815
5676,0,141.608555,190.27633,0.39899999999999997,7.685,1263.1,2.98,290.0,1.68,43.3,5083.0,4.512,0.8440000000000001,297.5771200000001,40.02771,13.336
5678,0,12.424733300000002,134.0338,0.6559999999999999,16.828,40.5,1.47,1284.0,642.95,19.3,6632.0,3.86,2.193,297.7253100000001,40.640789,12.876
5680,0,70.7511986,175.37157,1.24,6.1979999999999995,858.1,27.74,441.0,8.97,24.1,5771.0,4.4,0.9359999999999999,287.92313,40.517269,15.187
5682,1,175.13891999999998,296.03778,0.07,10.767000000000001,634.5,3.06,346.0,3.39,17.9,5497.0,4.243,1.2409999999999999,283.3457,45.27446,15.245
5683,0,1.302061421,132.56436000000002,1.273,1.8238,1046.1,92.86,3345.0,29636.26,29.5,7757.0,3.837,2.783,294.96756,43.27740900000001,13.095
5684,0,55.25178622,144.456513,0.978,6.093999999999999,39874.0,27.32,444.0,9.15,585.0,5793.0,4.561,0.8320000000000001,289.68658,39.297199,15.807
5685,0,5.548250634,133.21968600000002,0.29600000000000004,6.06772,42873.0,21.49,1088.0,331.99,1170.5,6124.0,4.455,1.028,295.88867,39.911301,15.752
5686,0,4.442520831,133.607376,0.966,2.4779,531.5,3.98,1392.0,889.36,100.3,6496.0,4.272,1.33,288.4743,40.085678,11.668
5688,0,2.685223546,133.731821,1.28,4.0632,5494.6,28.98,1111.0,360.92,238.7,5552.0,4.62,0.7190000000000001,294.83679,40.265598,15.828
5689,0,1.99042642,132.71317,0.067,3.083,133.8,1.17,1539.0,1327.48,25.3,6198.0,4.464,1.005,292.60025,37.832069,14.349
5690,0,67.230028,171.7451,0.938,25.01,379.1,2.44,482.0,12.79,39.5,6157.0,4.418,1.016,296.4201,42.936989,14.548
5691,0,0.805259637,132.100758,0.332,0.9779,341.8,1.93,2115.0,4732.34,50.2,6257.0,4.454,1.022,290.12604,41.59943,14.633
5692,0,75.3787816,167.10798,0.046,5.268,387.7,1.6,360.0,3.97,30.1,5061.0,4.488,0.841,297.63519,41.641869,12.218
5693,0,2.464160779,131.92201,1.169,2.427,116.7,36.93,1709.0,2018.62,27.3,5238.0,3.84,1.883,292.6597,42.272831,13.145
5695,0,4.93129874,134.82009,1.224,1.8626,676.1,21.42,944.0,187.36,31.7,5457.0,4.508,0.779,291.76056,42.92392,15.535
5696,0,5.59187448,132.87618,0.82,1.6782,236.4,104.18,4793.0,124810.93,31.9,3915.0,1.173,58.325,295.29874,38.93049600000001,13.627
5698,0,14.53682228,132.36831,1.068,3.195,1032.3,73.15,1596.0,1534.06,40.8,4946.0,2.819,5.855,294.3128700000001,40.319721,12.93
5699,0,1.72853003,131.80572,0.7759999999999999,3.819,99.1,2.43,2492.0,9100.75,24.0,6701.0,3.882,2.237,295.5021700000001,40.409943,13.597
5702,0,0.947730124,132.39338,0.473,1.1171,152.5,2.82,3914.0,55681.21,18.0,9464.0,4.1160000000000005,2.184,290.7466100000001,39.91103,9.072
5704,0,341.01495,448.7233,0.087,5.12,386.0,1.72,234.0,0.71,6.9,5327.0,4.456,0.8959999999999999,283.92191,43.37075,14.122
5705,0,6.14631207,132.74983,0.937,3.803,891.1,4.79,1260.0,594.72,20.3,6726.0,4.335,1.31,298.29898,40.470329,15.05
5706,0,27.36432337,143.46464,1.273,3.545,2282.5,39.49,659.0,44.5,42.3,6167.0,4.428,1.107,299.18491,40.484371,15.244000000000002
5707,0,10.26231992,133.20719,0.945,3.568,813.9,1.98,509.0,15.89,17.3,4316.0,4.709,0.54,298.46799,40.51667800000001,13.259
5708,0,1.5195292269999998,132.55256,0.866,5.1675,8372.5,11.12,1653.0,1766.31,155.1,6033.0,4.46,1.046,290.51465,40.693001,15.550999999999998
5709,0,6.4875259010000015,137.62516499999998,1.199,2.4536,20209.0,21.23,593.0,29.11,74.3,4481.0,4.763,0.485,292.55685,40.638191,15.693
5710,0,2.35197616,131.90696,1.177,5.303999999999999,268.0,21.19,1444.0,1025.78,31.7,6147.0,4.463,1.003,284.6947,46.37258900000001,15.347
5711,0,0.8616433309999999,131.80744,0.9940000000000001,2.4318,232.5,1.88,1613.0,1599.85,41.7,5506.0,4.596,0.688,282.21646,43.93359,14.614
5712,0,12.109762599999998,140.74725,0.981,10.174,113.9,1.09,681.0,50.68,28.2,5437.0,4.547,0.7390000000000001,296.42896,39.13375900000001,13.007
5714,0,19.7352868,138.58362,1.4169999999999998,5.0969999999999995,319.4,49.24,743.0,72.08,17.1,6329.0,4.44,1.045,295.54919,47.72657,14.689
5715,0,0.566799125,131.81288999999998,0.23199999999999998,3.072,30.7,0.56,2299.0,6590.95,22.5,6063.0,4.4510000000000005,1.004,291.64459,42.722351,13.568
5717,0,1.061935973,131.723748,1.19,3.3177,337.9,24.17,1961.0,3479.87,101.2,6274.0,4.434,1.062,288.90982,44.60836,14.126
5718,0,1.485898163,132.74414,1.173,2.4459999999999997,224.6,14.96,1272.0,620.65,32.8,5088.0,4.559,0.727,282.54819,41.334431,14.151
5720,0,1.845610523,131.80574,1.22,2.3369999999999997,374.1,77.83,2502.0,9283.04,33.3,5974.0,3.639,2.978,298.69202,39.984039,13.809
5721,1,133.303247,167.76041999999995,0.063,7.3420000000000005,1017.5,2.67,301.0,1.94,20.6,5064.0,4.474,0.8640000000000001,284.21942,44.268539,15.307
5722,1,125.41323020000002,195.62605,0.8220000000000001,2.3241,1345.0,3.14,266.0,1.18,22.6,4641.0,4.557,0.747,283.34448,41.20174,14.073
